$X,$Y,$H,$SL1,$SL2,$SL3,$SL4,$WWR_S,$WWR_N,$WWR_E, $WWR_W,$ORI,$WALL_U,$WIN_U,$GFLOOR_U, $FLOOR_SH,$ROOF_U,$WIN_G,$ACH,$LHG,$EHG,$ChillerCOP,$BoilerEfficiency,$ChillerPumpTypeCat,$BoilerPumpTypeCat,$ChillerTypeCat,Peak: Ground Floor,Peak: Intermediate Floor,Peak: Top Floor,Mean: Ground Floor,Mean: Intermediate Floor,Mean: Top Floor,Peak: Boiler Energy,Mean: Boiler Energy,Total: Boiler Energy
24.6875,34.0625,5.390625,0.71171875,2.11515625,0.39984375,1.33546875,0.4359375,0.4946875,0.1421875,0.4653125,39.375,0.064375,0.9921875,0.055625,923.4375,0.065625,0.5625,0.7125,8.828125,14.609375,4.078125,0.9859375,0,1,0,34145.83877,31788.94083,32516.79888,2697.314912,2089.231133,2495.335957,101340.3449,10649.33074,93288137.27
54.6875,64.0625,3.890625,3.20671875,4.61015625,2.89484375,3.83046875,0.9059375,0.0246875,0.6121875,0.9353125,-140.625,0.044375,1.7421875,0.035625,1073.4375,0.045625,0.1625,0.3125,5.328125,12.109375,5.578125,0.8359375,1,0,1,58890.49564,57198.2496,70835.88156,2872.102925,1676.93799,1941.153773,228232.3033,10745.26856,94128552.56
69.6875,49.0625,4.640625,1.95921875,3.36265625,4.14234375,0.08796875,0.6709375,0.2596875,0.8471875,0.7003125,-50.625,0.054375,0.6171875,0.045625,998.4375,0.035625,0.7625,0.5125,10.578125,13.359375,4.828125,0.9109375,0,1,1,55177.25243,42510.96242,37731.93642,3187.486289,2058.853713,2276.478933,212596.8594,7203.072633,63098916.27
39.6875,79.0625,3.140625,4.45421875,0.86765625,1.64734375,2.58296875,0.2009375,0.7296875,0.3771875,0.2303125,129.375,0.034375,1.3671875,0.065625,1148.4375,0.055625,0.3625,0.9125,7.078125,10.859375,3.328125,0.7609375,1,0,0,74238.55988,66708.93303,80005.90618,4547.867751,2648.687026,3415.767689,252918.2969,14653.42481,128364001.4
47.1875,41.5625,4.265625,3.83046875,0.24390625,1.02359375,0.71171875,0.5534375,0.3771875,0.4946875,0.5828125,174.375,0.059375,1.9296875,0.060625,1185.9375,0.050625,0.4625,0.4125,9.703125,13.984375,4.453125,0.8734375,1,0,1,41377.86874,37038.13717,43167.43776,2117.139989,1131.46477,1352.79207,138964.1712,5460.163755,47831034.49
77.1875,71.5625,5.765625,1.33546875,2.73890625,3.51859375,3.20671875,0.0834375,0.8471875,0.0246875,0.1128125,-5.625,0.039375,1.1796875,0.040625,1035.9375,0.030625,0.8625,0.8125,6.203125,11.484375,5.953125,0.7234375,0,1,0,202396.7749,187947.7313,183005.6273,15206.69454,12365.76364,13172.97015,612069.177,63585.22094,557006535.5
62.1875,26.5625,3.515625,2.58296875,3.98640625,4.76609375,1.95921875,0.3184375,0.6121875,0.2596875,0.3478125,-95.625,0.069375,1.5546875,0.030625,1110.9375,0.040625,0.2625,0.6125,11.453125,12.734375,5.203125,0.9484375,1,0,0,29229.27298,28212.62984,32605.06665,1111.742659,725.2361041,902.9406465,103853.9647,2857.767804,25034045.97
32.1875,56.5625,5.015625,0.08796875,1.49140625,2.27109375,4.45421875,0.7884375,0.1421875,0.7296875,0.8178125,84.375,0.049375,0.8046875,0.050625,960.9375,0.060625,0.6625,0.2125,7.953125,10.234375,3.703125,0.7984375,0,1,1,23938.74988,20317.23631,24605.81782,3416.609003,2242.798236,2945.862984,178946.8029,15661.77437,137197143.5
28.4375,45.3125,3.703125,1.64734375,4.92203125,1.33546875,1.02359375,0.4946875,0.4359375,0.4359375,0.7590625,16.875,0.036875,1.4609375,0.048125,1167.1875,0.038125,0.3125,0.4625,11.015625,14.296875,5.765625,0.9296875,1,1,0,20107.41729,16341.03461,15156.33021,957.9719422,516.2024267,560.2524706,63081.74414,2177.365989,19073726.06
58.4375,75.3125,5.203125,4.14234375,2.42703125,3.83046875,3.51859375,0.0246875,0.9059375,0.9059375,0.2890625,-163.125,0.056875,0.7109375,0.068125,1017.1875,0.058125,0.7125,0.8625,7.515625,11.796875,4.265625,0.7796875,0,0,1,162084.4777,152261.0817,171934.0646,12275.48255,9033.735484,11366.74095,519600.9076,40738.75284,356871474.9
73.4375,30.3125,4.453125,0.39984375,1.17953125,2.58296875,2.27109375,0.2596875,0.6709375,0.6709375,0.0540625,-73.125,0.046875,1.8359375,0.058125,1092.1875,0.068125,0.1125,0.6625,9.265625,13.046875,3.515625,0.8546875,1,1,1,65429.45005,62467.73272,75999.12008,4452.36063,3114.637754,4361.577204,230096.808,16729.36452,146549233.2
43.4375,60.3125,5.953125,2.89484375,3.67453125,0.08796875,4.76609375,0.7296875,0.2009375,0.2009375,0.5240625,106.875,0.066875,1.0859375,0.038125,942.1875,0.048125,0.5125,0.2625,5.765625,10.546875,5.015625,0.7046875,0,0,0,65348.91005,61126.7463,63880.04882,3644.616309,2511.044872,3076.538723,222882.4387,14541.21469,127381040.7
35.9375,22.8125,4.828125,3.51859375,3.05078125,1.95921875,1.64734375,0.3771875,0.5534375,0.7884375,0.1715625,151.875,0.041875,0.5234375,0.033125,904.6875,0.043125,0.6125,0.7625,11.890625,14.921875,5.390625,0.8921875,0,0,1,23319.20738,21988.7021,22287.36907,1082.145372,832.7122491,941.3419769,72669.70145,2744.309817,24040154
65.9375,52.8125,3.328125,1.02359375,0.55578125,4.45421875,4.14234375,0.8471875,0.0834375,0.3184375,0.6415625,-28.125,0.061875,1.2734375,0.053125,1054.6875,0.063125,0.2125,0.3625,8.390625,12.421875,3.890625,0.7421875,1,1,0,36461.6134,33971.85871,46820.58799,1374.835035,476.2761524,711.873681,174071.7323,4563.299363,39974502.42
50.9375,37.8125,5.578125,4.76609375,1.80328125,3.20671875,0.39984375,0.6121875,0.3184375,0.0834375,0.8765625,-118.125,0.031875,0.8984375,0.063125,979.6875,0.053125,0.8125,0.5625,10.140625,13.671875,3.140625,0.9671875,0,0,0,56290.38723,51294.85194,57066.32586,3146.142374,2109.20766,2618.387144,174646.9381,8537.270112,74786486.18
20.9375,67.8125,4.078125,2.27109375,4.29828125,0.71171875,2.89484375,0.1421875,0.7884375,0.5534375,0.4065625,61.875,0.051875,1.6484375,0.043125,1129.6875,0.033125,0.4125,0.9625,6.640625,11.171875,4.640625,0.8171875,1,1,1,54487.3699,51381.23475,50969.93106,4502.647368,3567.349123,3851.659708,166944.6079,18485.85728,161936109.7
21.40625,43.90625,5.4609375,4.181328125,3.245703125,2.232109375,3.323671875,0.20828125,0.70765625,0.12015625,0.89859375,-98.4375,0.0471875,1.28515625,0.0621875,1052.34375,0.0653125,0.35625,0.48125,11.6171875,13.5546875,5.8359375,0.71640625,0,1,1,31645.52425,29943.61015,35164.13234,2061.734469,1419.967604,1886.626186,106273.2767,6756.278429,59184999.04
51.40625,73.90625,3.9609375,1.686328125,0.750703125,4.727109375,0.828671875,0.67828125,0.23765625,0.59015625,0.42859375,81.5625,0.0671875,0.53515625,0.0421875,902.34375,0.0453125,0.75625,0.88125,8.1171875,11.0546875,4.3359375,0.86640625,1,0,0,92778.97767,82282.41527,84985.65578,5510.326794,3938.776353,4609.965555,275948.9896,19177.64731,167996190.4
66.40625,28.90625,4.7109375,2.933828125,1.998203125,3.479609375,4.571171875,0.91328125,0.47265625,0.82515625,0.19359375,171.5625,0.0371875,1.66015625,0.0321875,1127.34375,0.0353125,0.15625,0.68125,9.8671875,14.8046875,3.5859375,0.79140625,0,1,0,57143.45322,56509.5075,62321.68485,3570.610076,2787.656813,3181.943062,197940.099,12404.42501,108662763.1
36.40625,58.90625,3.2109375,0.438828125,4.493203125,0.984609375,2.076171875,0.44328125,0.94265625,0.35515625,0.66359375,-8.4375,0.0571875,0.91015625,0.0521875,977.34375,0.0553125,0.55625,0.28125,6.3671875,12.3046875,5.0859375,0.94140625,1,0,1,24283.42421,17214.51188,20825.14699,1288.214546,562.4374037,682.8812263,108681.9613,4483.145201,39272351.96
43.90625,21.40625,4.3359375,1.062578125,3.869453125,1.608359375,3.947421875,0.79578125,0.35515625,0.70765625,0.07609375,-53.4375,0.0321875,0.72265625,0.0571875,1014.84375,0.0503125,0.65625,0.78125,10.7421875,12.9296875,5.4609375,0.82890625,1,0,0,26502.51978,22588.53345,22864.70182,1705.682901,1235.709635,1475.374848,78759.35206,5131.445337,44951461.15
73.90625,51.40625,5.8359375,3.557578125,1.374453125,4.103359375,1.452421875,0.32578125,0.82515625,0.23765625,0.54609375,126.5625,0.0521875,1.47265625,0.0371875,1164.84375,0.0303125,0.25625,0.38125,7.2421875,10.4296875,3.9609375,0.97890625,0,1,1,100474.7509,96196.945,103237.598,5483.214622,3841.692092,4307.131632,360185.8361,20422.67177,178902604.7
